LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E09000025,Newham,2012/13,1x per week,74,4
E09000026,Redbridge,2012/13,1x per week,78,8
E09000027,Richmond upon Thames,2012/13,1x per week,89,21
E09000028,Southwark,2012/13,1x per week,85,16
E09000029,Sutton,2012/13,1x per week,79,5
E09000030,Tower Hamlets,2012/13,1x per week,84,10
E09000031,Waltham Forest,2012/13,1x per week,74,10
E09000032,Wandsworth,2012/13,1x per week,88,16
E09000033,Westminster,2012/13,1x per week,85,13
E12000001,North East,2012/13,1x per week,76,8
E12000002,North West,2012/13,1x per week,76,8
E12000003,Yorkshire and the Humber,2012/13,1x per week,77,9
E12000004,East Midlands,2012/13,1x per week,77,10
E12000005,West Midlands,2012/13,1x per week,74,8
E12000006,East of England,2012/13,1x per week,76,11
E12000007,London,2012/13,1x per week,80,10
E12000008,South East,2012/13,1x per week,78,11
E12000009,South West,2012/13,1x per week,78,11
E92000001,ENGLAND,2012/13,1x per week,77,10
E09000001,City of London,2012/13,3x per week,54,0
E09000002,Barking and Dagenham,2012/13,3x per week,56,3
E09000003,Barnet,2012/13,3x per week,58,2
E09000004,Bexley,2012/13,3x per week,55,1
E09000005,Brent,2012/13,3x per week,52,4
E09000006,Bromley,2012/13,3x per week,60,2
E09000007,Camden,2012/13,3x per week,69,9
E09000008,Croydon,2012/13,3x per week,56,1
E09000009,Ealing,2012/13,3x per week,57,7
E09000010,Enfield,2012/13,3x per week,46,2
E09000011,Greenwich,2012/13,3x per week,56,4
E09000012,Hackney,2012/13,3x per week,63,13
E09000013,Hammersmith and Fulham,2012/13,3x per week,66,12
E09000014,Haringey,2012/13,3x per week,61,6
E09000015,Harrow,2012/13,3x per week,56,4
E09000016,Havering,2012/13,3x per week,55,3
E09000017,Hillingdon,2012/13,3x per week,55,5
E09000018,Hounslow,2012/13,3x per week,55,5
E09000019,Islington,2012/13,3x per week,68,8
E09000020,Kensington and Chelsea,2012/13,3x per week,65,7
E09000021,Kingston upon Thames,2012/13,3x per week,58,5
E09000022,Lambeth,2012/13,3x per week,63,11
E09000023,Lewisham,2012/13,3x per week,61,5
E09000024,Merton,2012/13,3x per week,60,5
E09000025,Newham,2012/13,3x per week,58,2
E09000026,Redbridge,2012/13,3x per week,58,3
E09000027,Richmond upon Thames,2012/13,3x per week,64,11
E09000028,Southwark,2012/13,3x per week,69,12
E09000029,Sutton,2012/13,3x per week,56,2
E09000030,Tower Hamlets,2012/13,3x per week,67,5
E09000031,Waltham Forest,2012/13,3x per week,56,5
E09000032,Wandsworth,2012/13,3x per week,65,9
E09000033,Westminster,2012/13,3x per week,69,5
E12000001,North East,2012/13,3x per week,55,3
E12000002,North West,2012/13,3x per week,53,3
E12000003,Yorkshire and the Humber,2012/13,3x per week,54,4
E12000004,East Midlands,2012/13,3x per week,53,4
E12000005,West Midlands,2012/13,3x per week,52,3
E12000006,East of England,2012/13,3x per week,53,5
E12000007,London,2012/13,3x per week,59,5
E12000008,South East,2012/13,3x per week,54,5
E12000009,South West,2012/13,3x per week,56,5
E92000001,ENGLAND,2012/13,3x per week,55,4
E09000001,City of London,2012/13,5x per week,52,0
E09000002,Barking and Dagenham,2012/13,5x per week,48,2
E09000003,Barnet,2012/13,5x per week,46,1
E09000004,Bexley,2012/13,5x per week,44,0
E09000005,Brent,2012/13,5x per week,43,2
E09000006,Bromley,2012/13,5x per week,49,2
E09000007,Camden,2012/13,5x per week,60,5
E09000008,Croydon,2012/13,5x per week,46,1
E09000009,Ealing,2012/13,5x per week,47,4
E09000010,Enfield,2012/13,5x per week,39,1
E09000011,Greenwich,2012/13,5x per week,49,2
E09000012,Hackney,2012/13,5x per week,55,11
E09000013,Hammersmith and Fulham,2012/13,5x per week,54,7
E09000014,Haringey,2012/13,5x per week,49,4
E09000015,Harrow,2012/13,5x per week,46,2
E09000016,Havering,2012/13,5x per week,42,2
E09000017,Hillingdon,2012/13,5x per week,43,2
E09000018,Hounslow,2012/13,5x per week,46,3
E09000019,Islington,2012/13,5x per week,58,7
E09000020,Kensington and Chelsea,2012/13,5x per week,57,3
E09000021,Kingston upon Thames,2012/13,5x per week,49,3
E09000022,Lambeth,2012/13,5x per week,54,5
E09000023,Lewisham,2012/13,5x per week,50,2
E09000024,Merton,2012/13,5x per week,52,2
E09000025,Newham,2012/13,5x per week,47,1
E09000026,Redbridge,2012/13,5x per week,46,2
E09000027,Richmond upon Thames,2012/13,5x per week,53,8
E09000028,Southwark,2012/13,5x per week,60,8
E09000029,Sutton,2012/13,5x per week,44,1
E09000030,Tower Hamlets,2012/13,5x per week,52,3
E09000031,Waltham Forest,2012/13,5x per week,46,4
E09000032,Wandsworth,2012/13,5x per week,55,6
E09000033,Westminster,2012/13,5x per week,57,2
E12000001,North East,2012/13,5x per week,45,1
E12000002,North West,2012/13,5x per week,42,2
E12000003,Yorkshire and the Humber,2012/13,5x per week,43,2
E12000004,East Midlands,2012/13,5x per week,42,2
E12000005,West Midlands,2012/13,5x per week,40,2
E12000006,East of England,2012/13,5x per week,42,3
E12000007,London,2012/13,5x per week,49,3
E12000008,South East,2012/13,5x per week,43,3
E12000009,South West,2012/13,5x per week,45,3
E92000001,ENGLAND,2012/13,5x per week,44,3
E09000001,City of London,2013/14,1x per month,86,7
E09000002,Barking and Dagenham,2013/14,1x per month,82,7
E09000003,Barnet,2013/14,1x per month,90,12
E09000004,Bexley,2013/14,1x per month,86,9
E09000005,Brent,2013/14,1x per month,89,12
E09000006,Bromley,2013/14,1x per month,88,12
E09000007,Camden,2013/14,1x per month,93,15
E09000008,Croydon,2013/14,1x per month,87,7
E09000009,Ealing,2013/14,1x per month,87,13
E09000010,Enfield,2013/14,1x per month,86,8
E09000011,Greenwich,2013/14,1x per month,89,12
E09000012,Hackney,2013/14,1x per month,92,24
E09000013,Hammersmith and Fulham,2013/14,1x per month,93,24
E09000014,Haringey,2013/14,1x per month,92,15
E09000015,Harrow,2013/14,1x per month,85,5
E09000016,Havering,2013/14,1x per month,88,9
E09000017,Hillingdon,2013/14,1x per month,86,13
E09000018,Hounslow,2013/14,1x per month,88,15
E09000019,Islington,2013/14,1x per month,90,21
E09000020,Kensington and Chelsea,2013/14,1x per month,91,16
E09000021,Kingston upon Thames,2013/14,1x per month,90,21
E09000022,Lambeth,2013/14,1x per month,95,20
E09000023,Lewisham,2013/14,1x per month,88,13
E09000024,Merton,2013/14,1x per month,89,19
E09000025,Newham,2013/14,1x per month,87,7
E09000026,Redbridge,2013/14,1x per month,85,10
E09000027,Richmond upon Thames,2013/14,1x per month,91,32
E09000028,Southwark,2013/14,1x per month,92,16
E09000029,Sutton,2013/14,1x per month,87,12
E09000030,Tower Hamlets,2013/14,1x per month,89,19
E09000031,Waltham Forest,2013/14,1x per month,91,13
E09000032,Wandsworth,2013/14,1x per month,95,18
E09000033,Westminster,2013/14,1x per month,94,18
E12000001,North East,2013/14,1x per month,85,12
E12000002,North West,2013/14,1x per month,84,13
E12000003,Yorkshire and the Humber,2013/14,1x per month,85,13
E12000004,East Midlands,2013/14,1x per month,86,16
E12000005,West Midlands,2013/14,1x per month,84,12
E12000006,East of England,2013/14,1x per month,86,18
E12000007,London,2013/14,1x per month,89,14
E12000008,South East,2013/14,1x per month,87,18
